MAEASaM ID,Name Value,Name Type,Official division,Level,Discription,Created At,Comment,Country
ADMN_RHVM_0001500,Barolong,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Kenya
ADMN_RHVM_000013,Bobonong,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000014,Gaborone,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000015,Gemsbok,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000016,Hukunsti,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000017,Kgatleng,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000018,Kweneng North,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000019,Kweneng South,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000020,Lethlakane,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000021,Machaneng,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000022,Mahalapye,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000023,Masungu,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000001,Botswana ,Primary,National,"0",National territory of the state,,,Botswana
ADMN_RHVM_000002,Central,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000003,Chobe,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000004,Ghanzi,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000005,Kgalagadi,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000006,Kgatleng,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000007,Kweneng,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000008,Ngamiland,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000009,North East,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000010,South-East,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000011,Southern,Primary,District,"1",District of the sate of Botswana,,,Botswana
ADMN_RHVM_000024,Ngamiland East,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000025,Ngamiland West,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000026,Ngwaketse Central,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000027,Ngwaketse North,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000028,Ngwaketse South,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000029,Palapye,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000030,Serowe,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000031,South East,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000032,Tshabong,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000033,Tuli,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000034,Tutume,Primary,Sub-District,"2",Sub-district of the sate of Botswana,,,Botswana
ADMN_RHVM_000660,Afder,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000661,Agnewak,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000662,Alle,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000663,Amaro,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000664,Arsi,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000665,Asosa,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000666,Awi,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000667,Awsi,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000668,Bale,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000669,Basketo,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000670,Bench Sheko,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000671,Borena,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000672,Buno Bedele,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000673,Burji,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000674,Central Gondar,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000675,Central,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000676,Daawa,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000677,Dawuro,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000678,Derashe,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000679,Dire Dawa rural,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000680,Dire Dawa urban,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000681,Doolo,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000682,East Bale,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000683,East Gojam,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000684,East Hararge,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000685,East Shewa,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000686,East Wellega,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000687,Eastern,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000688,Erer,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000648,Addis Ababa,Primary,Chartered city,"1",Chartered city of the nation state of Ethiopia,,,Ethiopia
ADMN_RHVM_000649,Afar,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000650,Amhara,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000651,Benishangul Gumz,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000652,Dire Dawa,Primary,Chartered city,"1",Chartered city of the nation state of Ethiopia,,,Ethiopia
ADMN_RHVM_000647,Ethiopia,Primary,National,"0",National border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000653,Gambela,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000654,Harari,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000655,Oromia,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000656,Sidama,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000657,"Southern Nations, Nationalities and Peoples'",Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000658,Somali,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000659,Tigray,Primary,Region,"1",Region border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000689,Fafan,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000690,Fanti ,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000691,Finfine Special,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000692,Gabi ,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000693,Gamo,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000694,Gedeo,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000695,Gofa,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000696,Guji,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000697,Guraghe,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000698,Hadiya,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000699,Halaba,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000700,Harari,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000701,Hari ,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000702,Horo Gudru Wellega,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000703,Ilu Aba Bora,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000704,Itang Special woreda,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000705,Jarar,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000706,Jimma,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000707,Kefa,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000708,Kelem Wellega,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000709,Kemashi,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000710,Kembata Tibaro,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000711,Kilbati ,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000712,Konso,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000713,Konta Special,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000714,Korahe,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000715,Liban,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000716,Majang,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000717,Mao Komo Special,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000718,Mekelle,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000719,Metekel,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000720,Mirab Omo,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000721,Nogob,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000722,North Gondar,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000723,North Shewa (AM),Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000724,North Shewa (OR),Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000725,North Wello,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000726,North Western,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000727,Nuwer,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000728,Oromia,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000729,Region 14,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000730,Shabelle,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000731,Sheka,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000732,Sidama,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000733,Siltie,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000734,Siti,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000735,South Eastern,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000736,South Gondar,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000737,South Omo,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000738,South Wello,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000739,South West Shewa,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000740,Southern,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000741,Wag Hamra,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000742,West Arsi,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000743,West Gojam,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000744,West Gondar,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000745,West Guji,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000746,West Hararge,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000747,West Shewa,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000748,West Wellega,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000749,Western,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000750,Wolayita,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_000751,Yem Special,Primary,Zone,"2",Zone border of the state of Ethiopia,,,Ethiopia
ADMN_RHVM_001079,Eastern Africa,Primary,Political Region,,The region of nation states that collectively from the geo-political block of eastern Africa as defined by the African Union.,,,Africa
ADMN_RHVM_001078,Southern Africa,Primary,Political Region,,The region of nation states that collectively from the geo-political block of southern Africa as defined by the African Union.,,,Africa
ADMN_RHVM_001080,Western Africa,Primary,Political Region,,The region of nation states that collectively from the geo-political block of western Africa as defined by the African Union.,,,Africa
ADMN_RHVM_000356,Ainabkoi,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000357,Ainamoi,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000358,Aldai,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000359,Alego Usonga,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000360,Awendo,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000361,Bahati,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000362,Balambala,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000363,Banissa,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000364,Baringo Central,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000365,Baringo North,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000366,Baringo South,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000367,Belgut,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000368,Bobasi,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000369,Bomachoge Borabu,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000370,Bomachoge Chache,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000371,Bomet Central,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000372,Bomet East,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000373,Bonchari,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000374,Bondo,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000375,Borabu,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000376,Budalangi,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000377,Bumula,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000378,Bura,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000379,Buret,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000380,Butere,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000381,Butula,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000382,Buuri,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000383,Cental Imenti,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000384,Changamwe,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000385,Chepalungu,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000386,Cherangany,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000387,Chesumei,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000388,Dadaab,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000389,Dagoretti,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000390,Dujis,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000391,Eldama Ravine,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000392,Eldas,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000393,Embakasi Central,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000394,Embakasi East,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000395,Embakasi North,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000396,Embakasi South,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000397,Embakasi West,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000398,Emgwen,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000399,Emuhaya,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000400,Emurua Dikirr,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000401,Endebess,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000402,Fafi,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000403,Funyula,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000404,Gachoka,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000405,Galole,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000406,Ganze,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000407,Garsen,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000408,Gatanga,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000409,Gatundu North,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000410,Gatundu South,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000411,Gem,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000412,Gichugu,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000413,Gilgil,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000414,Githunguri,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000415,Hamisi,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000416,Homa Bay,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000417,Igembe Central,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000418,Igembe North,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000419,Igembe South,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000420,Ijara,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000421,Ikolomani,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000422,Isiolo North,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000423,Isiolo South,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000424,Jomvu,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000425,Juja,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000426,Kabete,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000427,Kabondo Kasipul,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000428,Kabuchai,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000429,Kacheliba,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000430,Kaiti,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000431,Kajiado Central,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000432,Kajiado East,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000433,Kajiado North,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000434,Kajiado South,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000435,Kajiado West,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000436,Kaloleni,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000437,Kamukunji,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000438,Kandara,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000439,Kanduyi,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000440,Kangema,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000441,Kangundo,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000442,Kapenguria,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000443,Kapseret,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000444,Karachuonyo,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000445,Kasarani,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000446,Kasipul,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000447,Kathiani,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000448,Keiyo North,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000449,Keiyo South,Primary,Sub-county,"2",Sub-County border of the state of Kenya,,,Kenya
ADMN_RHVM_000309,Baringo,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000310,Bomet,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000311,Bungoma,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000312,Busia,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000313,Elgeyo-Marakwet,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000314,Embu,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000315,Garissa,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000316,Homa Bay,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000317,Isiolo,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000318,Kajiado,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000319,Kakamega,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000308,Kenya,Primary,National,"0",National border of the state of Kenya,,,Kenya
ADMN_RHVM_000320,Kericho,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000321,Kiambu,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000322,Kilifi,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000323,Kirinyaga,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000324,Kisii,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000325,Kisumu,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000326,Kitui,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000327,Kwale,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000328,Laikipia,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000329,Lamu,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000330,Machakos,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000331,Makueni,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000332,Mandera,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000333,Marsabit,Primary,County,"1",County border of the state of Kenya,,,Kenya
ADMN_RHVM_000334,Meru,Primary,County,"1",County border of the state of Kenya,,,Kenya
